IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.196.158,443,TRUE,SJC,North America,San Jose,479 ms,462 kB/s
104.16.16.155,443,TRUE,SJC,North America,San Jose,248 ms,443 kB/s
104.21.103.84,443,TRUE,LHR,Europe,London,218 ms,327 kB/s
104.17.78.162,443,TRUE,SJC,North America,San Jose,226 ms,188 kB/s
104.17.78.162,443,TRUE,SJC,North America,San Jose,207 ms,941 kB/s
104.18.167.110,443,TRUE,SJC,North America,San Jose,236 ms,730 kB/s
162.159.245.187,443,TRUE,LAX,North America,Los Angeles,251 ms,681 kB/s
104.16.16.155,443,TRUE,SJC,North America,San Jose,224 ms,614 kB/s
104.19.196.158,443,TRUE,SJC,North America,San Jose,239 ms,510 kB/s
104.21.103.84,443,TRUE,LHR,Europe,London,219 ms,471 kB/s
104.19.144.234,443,TRUE,SJC,North America,San Jose,237 ms,368 kB/s
